track_id,artist,title
N001,Jamie Lidell,Another Day
N002,Babe Ruth,The Mexican
N003,Cheryl Lynn,Got To Be Real
N004,Creative Source,Who Is He And What Is He To You? 
N005,Curtis Mayfield,Right On For The Darkness 
N006,Donald Byrd,Change (Makes You Wanna Hustle)
N007,Ingrid,Easter Parade
N008,Gals And Pals,Blue On Blue 
N009,James Brown,Give It Up Or Turn It Loose
N010,John Kongos,He's Gonna Step On You Again 
N011,Junie,Granny's Funky Rolls Royce
N012,Lalo Schifrin,Jim On The Move 
N013,Michael Viner's Incredible Bongo Band,Sing Sing Sing
N014,Pino D'Angio,Ma Quale Idea 
N015,Please,Sing A Simple Song
N016,Erykah Badu,Rimshot (Intro)
N017,Roy Ayers,Lonesome Cowboy
N018,Rufus Thomas,The Breakdown (Part 2)
N019,Stanley Turrentine,Sister Sanctified
N020,Syl Johnson,Different Strokes
N021,The Bar-Kays,"Lets Have Some Fun (12"" Version)"
N022,The Commodores,The Assembly Line
N023,Wilson Pickett,Boogie Back
N024,Jamie Lidell,You Got Me Up
N025,Babe Ruth,Keep Your Distance
N026,Bad Bascomb,Black Grass
N027,Barry White,It's Ecstasy When You Lay Down Next To Me 
N028,ESG,U.F.O.
N029,Bo Diddley,Hit And Miss
N030,Boobie Knight,The Lovemaniacs (Sex)
N031,Dexter Wansel,Theme From The Planets
N032,Duke Williams And The Extremes,Chinese Chicken
N033,Engelbert Humperdinck,From Here To Eternity 
N034,Nina Simone,Love Me or Leave Me
N035,Ike & Tina Turner,Whole Lotta Love 
N036,J.J. Johnson,Willie Chase
N037,Jim Dandy,Country Cooking
N038,Joe Cocker,Woman To Woman 
N039,Johnny Jenkins,I Walk On Guilded Splinters
N040,K.C. & The Sunshine Band,I Get Lifted
N041,Lou Donaldson,Pot Belly
N042,Michael Viner's Incredible Bongo Band,Apache
N043,Micheal Viners Incredible Bongo Band,Apache 
N044,Minnie Riperton,Inside My Love 
N045,Jamie Lidell,Multiply
N046,Erykah Badu,Other Side of the Game
N047,Roy Ayers,Brother Green (The Disco King)
N048,The Delfonics,Ready Or Not Here I Come (Can't Hide From Love) (Fugees - Ready Or Not)
N049,The Headhunters,God Made Me Funky
N050,The Juice,Catch A Groove
N051,The Lafayette Afro Rock Band,Conga
N052,Bill Withers,I Can't Write Left-Handed 
N053,Blowfly,Sesame Street
N054,Bob Marley,Sun Is Shining 
N055,Brother Of Soul,Cookies
N056,Carol Williams,Love Is You 
N057,Coke Escovedo,(Runaway) I Wouldn't Change A Thing
N058,Billy Squier,Big Beat
N059,Grover Washington Jr.,Mr. Magic
